time,target
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,1.0
2020-03-05,0.0
2020-03-06,1.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,3.0
2020-03-13,1.0
2020-03-14,0.0
2020-03-15,3.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,1.0
2020-03-19,4.0
2020-03-20,2.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,5.0
2020-03-24,0.0
2020-03-25,5.0
2020-03-26,0.0
2020-03-27,11.0
2020-03-28,5.0
2020-03-29,8.0
2020-03-30,48.0
2020-03-31,27.0
2020-04-01,22.0
2020-04-02,9.0
2020-04-03,15.0
2020-04-04,20.0
2020-04-05,35.0
2020-04-06,69.0
2020-04-07,34.0
2020-04-08,44.0
2020-04-09,35.0
2020-04-10,80.0
2020-04-11,69.0
2020-04-12,121.0
2020-04-13,121.0
2020-04-14,130.0
2020-04-15,154.0
2020-04-16,424.0
2020-04-17,139.0
2020-04-18,114.0
2020-04-19,86.0
2020-04-20,127.0
2020-04-21,294.0
2020-04-22,191.0
2020-04-23,253.0
2020-04-24,215.0
2020-04-25,151.0
2020-04-26,161.0
2020-04-27,198.0
2020-04-28,290.0
2020-04-29,336.0
2020-04-30,349.0
2020-05-01,323.0
2020-05-02,295.0
2020-05-03,317.0
2020-05-04,226.0
2020-05-05,312.0
2020-05-06,306.0
2020-05-07,375.0
2020-05-08,425.0
2020-05-09,414.0
2020-05-10,307.0
2020-05-11,339.0
2020-05-12,435.0
2020-05-13,460.0
2020-05-14,541.0
2020-05-15,525.0
2020-05-16,451.0
2020-05-17,425.0
2020-05-18,453.0
2020-05-19,455.0
2020-05-20,408.0
2020-05-21,389.0
2020-05-22,363.0
2020-05-23,384.0
2020-05-24,374.0
2020-05-25,363.0
2020-05-26,387.0
2020-05-27,383.0
2020-05-28,369.0
2020-05-29,365.0
2020-05-30,369.0
2020-05-31,364.0
2020-06-01,376.0
2020-06-02,380.0
2020-06-03,375.0
2020-06-04,378.0
2020-06-05,347.0
2020-06-06,340.0
2020-06-07,326.0
2020-06-08,318.0
2020-06-09,313.0
2020-06-10,303.0
2020-06-11,274.0
2020-06-12,262.0
2020-06-13,256.0
2020-06-14,252.0
2020-06-15,234.0
2020-06-16,228.0
2020-06-17,231.0
2020-06-18,228.0
2020-06-19,232.0
2020-06-20,229.0
2020-06-21,217.0
2020-06-22,220.0
2020-06-23,218.0
2020-06-24,221.0
2020-06-25,223.0
2020-06-26,224.0
2020-06-27,217.0
2020-06-28,219.0
2020-06-29,253.0
2020-06-30,262.0
2020-07-01,258.0
2020-07-02,263.0
2020-07-03,271.0
2020-07-04,275.0
2020-07-05,280.0
2020-07-06,278.0
2020-07-07,295.0
2020-07-08,292.0
2020-07-09,300.0
2020-07-10,296.0
2020-07-11,293.0
2020-07-12,291.0
2020-07-13,281.0
2020-07-14,264.0
2020-07-15,256.0
2020-07-16,244.0
2020-07-17,238.0
2020-07-18,202.0
2020-07-19,195.0
2020-07-20,189.0
2020-07-21,186.0
2020-07-22,184.0
2020-07-23,181.0
2020-07-24,179.0
2020-07-25,175.0
2020-07-26,172.0
2020-07-27,168.0
2020-07-28,165.0
2020-07-29,162.0
2020-07-30,159.0
2020-07-31,161.0
2020-08-01,163.0
2020-08-02,160.0
2020-08-03,158.0
2020-08-04,156.0
2020-08-05,159.0
2020-08-06,157.0
2020-08-07,155.0
2020-08-08,160.0
2020-08-09,157.0
2020-08-10,157.0
2020-08-11,161.0
2020-08-12,160.0
2020-08-13,159.0
2020-08-14,162.0
2020-08-15,163.0
2020-08-16,159.0
2020-08-17,157.0
2020-08-18,162.0
2020-08-19,160.0
2020-08-20,181.0
2020-08-21,183.0
2020-08-22,180.0
2020-08-23,182.0
2020-08-24,179.0
2020-08-25,181.0
2020-08-26,184.0
2020-08-27,187.0
2020-08-28,189.0
2020-08-29,186.0
2020-08-30,188.0
2020-08-31,185.0
2020-09-01,189.0
2020-09-02,191.0
2020-09-03,193.0
2020-09-04,195.0
2020-09-05,192.0
2020-09-06,196.0
2020-09-07,210.0
2020-09-08,218.0
2020-09-09,215.0
2020-09-10,216.0
2020-09-11,203.0
2020-09-12,206.0
2020-09-13,199.0
2020-09-14,206.0
2020-09-15,207.0
2020-09-16,211.0
2020-09-17,206.0
2020-09-18,212.0
2020-09-19,214.0
2020-09-20,209.0
2020-09-21,211.0
2020-09-22,208.0
2020-09-23,215.0
2020-09-24,224.0
2020-09-25,232.0
2020-09-26,227.0
2020-09-27,237.0
2020-09-28,251.0
2020-09-29,276.0
2020-09-30,285.0
2020-10-01,302.0
2020-10-02,358.0
2020-10-03,392.0
2020-10-04,407.0
2020-10-05,411.0
2020-10-06,456.0
2020-10-07,461.0
2020-10-08,469.0
2020-10-09,501.0
2020-10-10,528.0
2020-10-11,538.0
2020-10-12,557.0
2020-10-13,602.0
2020-10-14,638.0
2020-10-15,647.0
2020-10-16,659.0
2020-10-17,674.0
2020-10-18,686.0
2020-10-19,695.0
2020-10-20,684.0
2020-10-21,697.0
2020-10-22,710.0
2020-10-23,713.0
2020-10-24,709.0
2020-10-25,715.0
2020-10-26,721.0
2020-10-27,727.0
2020-10-28,758.0
2020-10-29,801.0
2020-10-30,854.0
2020-10-31,896.0
2020-11-01,923.0
2020-11-02,944.0
2020-11-03,1031.0
2020-11-04,1093.0
2020-11-05,1171.0
2020-11-06,1258.0
2020-11-07,1331.0
2020-11-08,1403.0
2020-11-09,1485.0
2020-11-10,1574.0
2020-11-11,1667.0
2020-11-12,1756.0
2020-11-13,1852.0
2020-11-14,1944.0
2020-11-15,2039.0
2020-11-16,2130.0
2020-11-17,2215.0
2020-11-18,2312.0
2020-11-19,2394.0
2020-11-20,2476.0
2020-11-21,2668.0
2020-11-22,2926.0
2020-11-23,3179.0
2020-11-24,3421.0
2020-11-25,3669.0
2020-11-26,3687.0
2020-11-27,3695.0
2020-11-28,3701.0
2020-11-29,3691.0
2020-11-30,3697.0
2020-12-01,3684.0
2020-12-02,3692.0
2020-12-03,3694.0
2020-12-04,3726.0
2020-12-05,3753.0
2020-12-06,3741.0
2020-12-07,3734.0
2020-12-08,4402.0
2020-12-09,4773.0
2020-12-10,4712.666666666667
2020-12-11,4596.25
2020-12-12,3944.6
2020-12-13,3771.0
2020-12-14,3765.0
2020-12-15,3758.0
2020-12-16,3786.3333333333335
2020-12-17,3871.3
2020-12-18,3885.2727272727275
2020-12-19,3759.0
2020-12-20,3752.0
2020-12-21,3760.0
2020-12-22,3749.0
2020-12-23,3756.0
2020-12-24,3751.0
2020-12-25,3755.0
2020-12-26,3761.0
2020-12-27,3748.0
2020-12-28,3757.0
2020-12-29,3764.0
2020-12-30,3758.0
2020-12-31,3746.0
2021-01-01,3742.0
2021-01-02,3738.0
2021-01-03,3657.0
2021-01-04,3649.0
2021-01-05,3341.0
2021-01-06,3005.0
2021-01-07,3017.0
2021-01-08,3006.0
2021-01-09,3010.0
2021-01-10,3004.0
2021-01-11,2731.0
2021-01-12,3003.0
2021-01-13,3041.0
2021-01-14,3094.0
2021-01-15,3253.0
2021-01-16,3316.0
2021-01-17,3287.0
2021-01-18,3281.0
2021-01-19,3347.0
2021-01-20,3112.0
2021-01-21,3104.0
2021-01-22,3056.0
2021-01-23,2929.0
2021-01-24,2467.15
2021-01-25,2534.5
2021-01-26,2565.55
2021-01-27,2638.45
2021-01-28,2642.9
2021-01-29,2601.55
2021-01-30,2575.9
2021-01-31,2441.75
2021-02-01,2371.1
2021-02-02,2294.9
2021-02-03,2238.9
2021-02-04,2150.5
2021-02-05,2212.15
2021-02-06,2223.2
2021-02-07,2109.4
2021-02-08,2029.9
2021-02-09,1956.8
2021-02-10,1904.5
2021-02-11,1861.55
2021-02-12,1902.25
2021-02-13,1904.1
2021-02-14,1773.35
2021-02-15,1712.95
2021-02-16,1645.3
2021-02-17,1628.45
2021-02-18,1656.45
2021-02-19,1706.3
2021-02-20,1727.45
2021-02-21,1603.85
2021-02-22,1507.9
2021-02-23,1416.4
2021-02-24,1385.25
2021-02-25,1330.55
2021-02-26,1326.75
2021-02-27,1323.3
2021-02-28,1217.3
2021-03-01,1202.5
2021-03-02,1180.4
2021-03-03,1135.35
2021-03-04,1125.95
2021-03-05,1164.85
2021-03-06,1167.95
2021-03-07,1109.15
2021-03-08,1060.0
2021-03-09,1029.7
2021-03-10,989.15
2021-03-11,957.0
2021-03-12,953.45
2021-03-13,952.8
2021-03-14,942.45
2021-03-15,975.2
2021-03-16,949.8
2021-03-17,956.2
2021-03-18,955.65
2021-03-19,969.8
2021-03-20,973.95
2021-03-21,905.35
2021-03-22,876.5
2021-03-23,857.1
2021-03-24,844.05
2021-03-25,834.2
2021-03-26,873.65
2021-03-27,869.6
2021-03-28,863.4
2021-03-29,860.95
2021-03-30,845.1
2021-03-31,827.9
2021-04-01,802.8
2021-04-02,827.45
2021-04-03,823.0
2021-04-04,784.5
2021-04-05,800.65
2021-04-06,768.2
2021-04-07,750.5
2021-04-08,753.1
2021-04-09,782.05
2021-04-10,776.65
2021-04-11,729.0
2021-04-12,731.35
2021-04-13,719.8
2021-04-14,719.0
2021-04-15,704.0
2021-04-16,726.2
2021-04-17,726.5
2021-04-18,692.0
2021-04-19,697.2
2021-04-20,693.2
2021-04-21,692.8
2021-04-22,697.1
2021-04-23,723.25
2021-04-24,727.5
2021-04-25,706.0
2021-04-26,712.0
2021-04-27,723.0
2021-04-28,716.0
2021-04-29,725.0
2021-04-30,737.0
2021-05-01,738.4
2021-05-02,707.65
2021-05-03,709.0
2021-05-04,711.0
2021-05-05,715.0
2021-05-06,722.0
2021-05-07,726.0
2021-05-08,729.0
2021-05-09,724.0
2021-05-10,717.0
2021-05-11,734.0
2021-05-12,741.0
2021-05-13,739.0
2021-05-14,770.25
2021-05-15,788.55
2021-05-16,763.0
2021-05-17,779.25
2021-05-18,799.7
2021-05-19,823.05
2021-05-20,834.05
2021-05-21,888.35
2021-05-22,895.35
2021-05-23,894.0
2021-05-24,925.45
2021-05-25,954.4
2021-05-26,980.8
2021-05-27,1005.8
2021-05-28,1070.55
2021-05-29,1082.1
2021-05-30,1118.0526315789473
2021-05-31,1145.2631578947369
2021-06-01,1175.5263157894738
